date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:56	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2003%20Oct%202018%2006:38:54%20GMT	http://biometric2017.org/robots.txt		(from )
16:08:56	24624/24624	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2006:38:55%20GMT	http://biometric2017.org/	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/index.html	(from )
16:08:58	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2003%20Oct%202018%2006:38:57%20GMT	http://biometric2017.org/xmlrpc.php	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/xmlrpc.php	(from http://biometric2017.org/)
16:08:58	416/416	---M--	200	added ('OK')	text/css	etag:%224bc1575-1a0-55d4adde1c46a%22	http://biometric2017.org/wp-content/plugins/dk-new-medias-image-rotator-widget/css/dkirw.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/wp-content/plugins/dk-new-medias-image-rotator-widget/css/dkirw1845.css	(from http://biometric2017.org/)
16:08:59	13900/13900	---M-Z	200	added ('OK')	text/css	etag:%221121855-364c-5712f444d46d2-gzip%22	https://cdn.datatables.net/1.10.16/css/jquery.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/1.10.16/css/jquery.dataTables.min1845.css	(from http://biometric2017.org/)
16:08:59	1810/1810	---MC-	200	added ('OK')	application/rss+xml	etag:%22fb0f4d1da38384df67626c0ff417908b%22	http://biometric2017.org/feed/	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/feed/index.html	(from http://biometric2017.org/)
16:08:59	9160/9160	---M-Z	200	added ('OK')	text/css	etag:%22112153f-23c8-56bb1898956da-gzip%22	https://cdn.datatables.net/buttons/1.4.2/css/buttons.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/buttons/1.4.2/css/buttons.dataTables.min1845.css	(from http://biometric2017.org/)
16:08:59	1521/1521	---MC-	200	added ('OK')	application/rss+xml	etag:%22dc99e98fa7b0ce8373c7f12427a89dbc%22	http://biometric2017.org/comments/feed/	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/comments/feed/index.html	(from http://biometric2017.org/)
16:08:59	3918/3918	---M-Z	200	added ('OK')	text/css	etag:%221140685-f4e-5712f4699bf42-gzip%22	https://cdn.datatables.net/select/1.2.3/css/select.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/select/1.2.3/css/select.dataTables.min1845.css	(from http://biometric2017.org/)
16:08:59	267/267	---M-Z	200	added ('OK')	text/css	etag:%22112026c-10b-5712f44c2346a-gzip%22	https://cdn.datatables.net/fixedheader/3.1.3/css/fixedHeader.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/fixedheader/3.1.3/css/fixedHeader.dataTables.min1845.css	(from http://biometric2017.org/)
16:09:00	327/327	---M-Z	200	added ('OK')	text/css	etag:%221120513-147-56bb189911f0a-gzip%22	https://cdn.datatables.net/fixedcolumns/3.2.3/css/fixedColumns.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/fixedcolumns/3.2.3/css/fixedColumns.dataTables.min1845.css	(from http://biometric2017.org/)
16:09:00	3929/3929	---M-Z	200	added ('OK')	text/css	etag:%22132036c-f59-56bb18a2567fa-gzip%22	https://cdn.datatables.net/responsive/2.2.0/css/responsive.dataTables.min.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/cdn.datatables.net/responsive/2.2.0/css/responsive.dataTables.min1845.css	(from http://biometric2017.org/)
16:09:00	9993/9993	---M--	200	added ('OK')	text/css	etag:%224c2063f-2709-55d0c67e6c604%22	http://biometric2017.org/wp-content/plugins/mp-timetable/media/css/style.css?ver=2.1.10	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/wp-content/plugins/mp-timetable/media/css/style6176.css	(from http://biometric2017.org/)
16:09:00	98/98	---M--	200	added ('OK')	text/css	etag:%224bc00d6-62-55d43e1c9ec6b%22	http://biometric2017.org/wp-content/plugins/simple-staff-list/public/css/simple-staff-list-public.css?ver=2.0.1	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/wp-content/plugins/simple-staff-list/public/css/simple-staff-list-public7406.css	(from http://biometric2017.org/)
16:09:01	7856/7856	---M--	200	added ('OK')	text/css	etag:%224bc0cc2-1eb0-5585931c1cab5%22	http://biometric2017.org/wp-content/plugins/wp-expand-tabs-free/css/jquery.pwstabs.css?ver=4.9.6	C:/My%20Web%20Sites/Biometrics2017/biometric2017.org/wp-content/plugins/wp-expand-tabs-free/css/jquery.pwstabs1845.css	(from http://biometric2017.org/)
